ball,metric,speed,club,value
Pinnacle Rush,Launch Angle,fast,driver,9.82
Titleist TruFeel,Launch Angle,fast,driver,9.97
TaylorMade SpeedSoft,Launch Angle,fast,driver,10.23
Srixon Q-STAR ULTISPEED,Launch Angle,fast,driver,9.91
PXG Xtreme Tour,Launch Angle,fast,driver,9.42
Maxfli Tour S,Launch Angle,fast,driver,9.84
Titleist AVX,Launch Angle,fast,driver,9.66
Callaway ERC Soft,Launch Angle,fast,driver,9.93
Mizuno Pro X,Launch Angle,fast,driver,9.55
Callaway Chrome Tour X,Launch Angle,fast,driver,9.53
Callaway Chrome Tour Triple Diamond,Launch Angle,fast,driver,9.78
Mizuno Pro S,Launch Angle,fast,driver,9.83
Titleist Pro V1,Launch Angle,fast,driver,9.75
Bridgestone TOUR B RXS,Launch Angle,fast,driver,9.73
Titleist Pro V1x Left Dash,Launch Angle,fast,driver,9.73
TaylorMade Tour Response,Launch Angle,fast,driver,9.73
Callaway Chrome Tour,Launch Angle,fast,driver,9.65
Titleist Velocity,Launch Angle,fast,driver,9.95
Maxfli Tour,Launch Angle,fast,driver,9.44
Vice Pro,Launch Angle,fast,driver,9.57
Vice Pro Air,Launch Angle,fast,driver,9.76
Wilson Triad,Launch Angle,fast,driver,9.62
Bridgestone TOUR B RX,Launch Angle,fast,driver,9.67
Titleist Tour Soft,Launch Angle,fast,driver,9.75
PXG Xtreme Tour X,Launch Angle,fast,driver,9.74
Maxfli Tour X,Launch Angle,fast,driver,9.6
Callaway Chrome Soft,Launch Angle,fast,driver,9.79
Bridgestone TOUR B XS,Launch Angle,fast,driver,9.36
Bridgestone TOUR B X,Launch Angle,fast,driver,9.63
Srixon Q-STAR TOUR,Launch Angle,fast,driver,9.93
Kirkland Performance+ v3.5,Launch Angle,fast,driver,10.05
TaylorMade TP5x,Launch Angle,fast,driver,9.81
Titleist Pro V1x,Launch Angle,fast,driver,9.58
Wilson Staff Model,Launch Angle,fast,driver,9.84
Srixon Z-STAR XV,Launch Angle,fast,driver,9.61
Vice Pro Plus,Launch Angle,fast,driver,9.73
Srixon Z-STAR DIAMOND,Launch Angle,fast,driver,9.8
TaylorMade TP5,Launch Angle,fast,driver,9.51
Wilson Staff Model X,Launch Angle,fast,driver,9.65
Member's Mark Pro Series 2,Launch Angle,fast,driver,9.75
Srixon Z-STAR DIVIDE,Launch Angle,fast,driver,10.14
Srixon Z-STAR,Launch Angle,fast,driver,9.64
Srixon SOFT FEEL,Ball Speed,fast,driver,162.99
Callaway Supersoft,Ball Speed,fast,driver,163.02
Pinnacle Rush,Ball Speed,fast,driver,165.32
Titleist TruFeel,Ball Speed,fast,driver,164.98
TaylorMade SpeedSoft,Ball Speed,fast,driver,162.39
Srixon Q-STAR ULTISPEED,Ball Speed,fast,driver,166.06
PXG Xtreme Tour,Ball Speed,fast,driver,167.02
Maxfli Tour S,Ball Speed,fast,driver,164.82
Titleist AVX,Ball Speed,fast,driver,165.95
Callaway ERC Soft,Ball Speed,fast,driver,165.63
Mizuno Pro X,Ball Speed,fast,driver,168.03
Callaway Chrome Tour X,Ball Speed,fast,driver,167.65
Callaway Chrome Tour Triple Diamond,Ball Speed,fast,driver,168.09
Mizuno Pro S,Ball Speed,fast,driver,165.86
Titleist Pro V1,Ball Speed,fast,driver,167.24
Bridgestone TOUR B RXS,Ball Speed,fast,driver,163.78
Titleist Pro V1x Left Dash,Ball Speed,fast,driver,167.88
TaylorMade Tour Response,Ball Speed,fast,driver,164.55
Callaway Chrome Tour,Ball Speed,fast,driver,166.44
Titleist Velocity,Ball Speed,fast,driver,166.6
Maxfli Tour,Ball Speed,fast,driver,166.32
Vice Pro,Ball Speed,fast,driver,165.58
Vice Pro Air,Ball Speed,fast,driver,163.71
Wilson Triad,Ball Speed,fast,driver,165.01
Bridgestone TOUR B RX,Ball Speed,fast,driver,165.32
Titleist Tour Soft,Ball Speed,fast,driver,167.09
PXG Xtreme Tour X,Ball Speed,fast,driver,167.65
Maxfli Tour X,Ball Speed,fast,driver,168.16
Callaway Chrome Soft,Ball Speed,fast,driver,164.87
Bridgestone TOUR B XS,Ball Speed,fast,driver,165.61
Bridgestone TOUR B X,Ball Speed,fast,driver,166.47
Srixon Q-STAR TOUR,Ball Speed,fast,driver,163.94
Kirkland Performance+ v3.5,Ball Speed,fast,driver,166.53
TaylorMade TP5x,Ball Speed,fast,driver,166.28
Titleist Pro V1x,Ball Speed,fast,driver,167.79
Wilson Staff Model,Ball Speed,fast,driver,167.27
Srixon Z-STAR XV,Ball Speed,fast,driver,167.34
Vice Pro Plus,Ball Speed,fast,driver,166.42
Srixon Z-STAR DIAMOND,Ball Speed,fast,driver,167.01
TaylorMade TP5,Ball Speed,fast,driver,165.27
Wilson Staff Model X,Ball Speed,fast,driver,168.02
Member's Mark Pro Series 2,Ball Speed,fast,driver,166.98
Srixon Z-STAR DIVIDE,Ball Speed,fast,driver,165.99
Srixon Z-STAR,Ball Speed,fast,driver,165.84
Member's Mark Pro Series 2,Total,slow,mid-iron,133.58
Srixon Z-STAR DIVIDE,Total,slow,mid-iron,132.24
Srixon Z-STAR,Total,slow,mid-iron,132.06
Bridgestone TOUR B X,Total,slow,mid-iron,134.77
Bridgestone TOUR B RX,Total,slow,mid-iron,133.31
Maxfli Tour X,Total,slow,mid-iron,131.4
TaylorMade TP5x,Total,slow,mid-iron,130.32
Mizuno Pro S,Total,slow,mid-iron,133.5
Wilson Staff Model,Total,slow,mid-iron,131.61
Srixon Z-STAR XV,Total,slow,mid-iron,127.02
Srixon Z-STAR DIAMOND,Total,slow,mid-iron,131.8
Titleist Pro V1x Left Dash,Total,slow,mid-iron,135.0
Callaway Chrome Tour Triple Diamond,Total,slow,mid-iron,132.88
Callaway ERC Soft,Total,slow,mid-iron,134.83
PXG Xtreme Tour X,Total,slow,mid-iron,133.51
